song_id,filename
49,10000Hours_10s.wav
49,10000Hours_20s.wav
49,10000Hours_30s.wav
28,7Years_10s.wav
28,7Years_20s.wav
28,7Years_30s.wav
8,Faded_10s.wav
8,Faded_20s.wav
8,Faded_30s.wav
4,BitterSweetSymphony_10s.wav
4,BitterSweetSymphony_20s.wav
4,BitterSweetSymphony_30s.wav
7,BlindingLights_10s.wav
7,BlindingLights_20s.wav
7,BlindingLights_30s.wav
38,CantStopTheFeeling_10s.wav
38,CantStopTheFeeling_20s.wav
38,CantStopTheFeeling_30s.wav
25,CastleOnTheHill_10s.wav
25,CastleOnTheHill_20s.wav
25,CastleOnTheHill_30s.wav
34,Closer_10s.wav
34,Closer_20s.wav
34,Closer_30s.wav
35,DanceMonkey_10s.wav
35,DanceMonkey_20s.wav
35,DanceMonkey_30s.wav
10,Diamonds_10s.wav
10,Diamonds_20s.wav
10,Diamonds_30s.wav
21,DontLetMeDown_10s.wav
21,DontLetMeDown_20s.wav
21,DontLetMeDown_30s.wav
24,DragMeDown_10s.wav
24,DragMeDown_20s.wav
24,DragMeDown_30s.wav
18,Dynamite_10s.wav
18,Dynamite_20s.wav
18,Dynamite_30s.wav
41,LaVieEnRose_10s.wav
41,LaVieEnRose_20s.wav
41,LaVieEnRose_30s.wav
13,LoveMeTender_10s.wav
13,LoveMeTender_20s.wav
13,LoveMeTender_30s.wav
11,EtSiTuNExistaisPas_10s.wav
11,EtSiTuNExistaisPas_20s.wav
11,EtSiTuNExistaisPas_30s.wav
9,FakeLove_10s.wav
9,FakeLove_20s.wav
9,FakeLove_30s.wav
5,GameOfThronesViolin_10s.wav
5,GameOfThronesViolin_20s.wav
5,GameOfThronesViolin_30s.wav
17,HanyaRindu_10s.wav
17,HanyaRindu_20s.wav
17,HanyaRindu_30s.wav
29,Happier_10s.wav
29,Happier_20s.wav
29,Happier_30s.wav
22,HowYouLikeThat_10s.wav
22,HowYouLikeThat_20s.wav
22,HowYouLikeThat_30s.wav
50,HymnForTheWeekend_10s.wav
50,HymnForTheWeekend_20s.wav
50,HymnForTheWeekend_30s.wav
36,IReallyLikeYou_10s.wav
36,IReallyLikeYou_20s.wav
36,IReallyLikeYou_30s.wav
43,IceCream_10s.wav
43,IceCream_20s.wav
43,IceCream_30s.wav
40,LetItSnowLetItSnowLetItSnow_10s.wav
40,LetItSnowLetItSnowLetItSnow_20s.wav
40,LetItSnowLetItSnowLetItSnow_30s.wav
1,FallingDown_10s.wav
1,FallingDown_20s.wav
1,FallingDown_30s.wav
23,InTheEnd_10s.wav
23,InTheEnd_20s.wav
23,InTheEnd_30s.wav
25,CrossingField_10s.wav
25,CrossingField_20s.wav
25,CrossingField_30s.wav
30,LoveThemeFromFlashdance_10s.wav
30,LoveThemeFromFlashdance_20s.wav
30,LoveThemeFromFlashdance_30s.wav
16,MeMyselfAndI_10s.wav
16,MeMyselfAndI_20s.wav
16,MeMyselfAndI_30s.wav
19,Mood_10s.wav
19,Mood_20s.wav
19,Mood_30s.wav
12,RondoAllaTurca_10s.wav
12,RondoAllaTurca_20s.wav
12,RondoAllaTurca_30s.wav
15,MozartSerenadeinGMajor_10s.wav
15,MozartSerenadeinGMajor_20s.wav
15,MozartSerenadeinGMajor_30s.wav
45,MyHeartWillGoOn_10s.wav
45,MyHeartWillGoOn_20s.wav
45,MyHeartWillGoOn_30s.wav
44,OldTownRoad_10s.wav
44,OldTownRoad_20s.wav
44,OldTownRoad_30s.wav
27,GonnaFlyNow_10s.wav
27,GonnaFlyNow_20s.wav
27,GonnaFlyNow_30s.wav
39,RollingInTheDeep_10s.wav
39,RollingInTheDeep_20s.wav
39,RollingInTheDeep_30s.wav
37,SeeYouAgain_10s.wav
37,SeeYouAgain_20s.wav
37,SeeYouAgain_30s.wav
48,Senorita_10s.wav
48,Senorita_20s.wav
48,Senorita_30s.wav
42,Stitches_10s.wav
42,Stitches_20s.wav
42,Stitches_30s.wav
3,Sugar_10s.wav
3,Sugar_20s.wav
3,Sugar_30s.wav
14,Sunflower_10s.wav
14,Sunflower_20s.wav
14,Sunflower_30s.wav
47,SwanLake_10s.wav
47,SwanLake_20s.wav
47,SwanLake_30s.wav
46,SweetButPsycho_10s.wav
46,SweetButPsycho_20s.wav
46,SweetButPsycho_30s.wav
32,UptownFunk_10s.wav
32,UptownFunk_20s.wav
32,UptownFunk_30s.wav
20,WildestDreams_10s.wav
20,WildestDreams_20s.wav
20,WildestDreams_30s.wav
6,YesSirICanBoogie_10s.wav
6,YesSirICanBoogie_20s.wav
6,YesSirICanBoogie_30s.wav
31,Yesterday_10s.wav
31,Yesterday_20s.wav
31,Yesterday_30s.wav
33,YoungAndBeautiful_10s.wav
33,YoungAndBeautiful_20s.wav
33,YoungAndBeautiful_30s.wav
2,Youngblood_10s.wav
2,Youngblood_20s.wav
2,Youngblood_30s.wav
